date,slug,title,primary_keyword,category,status,url
2026-06-19,kriticheskoe-myshlenie,Критическое мышление: что это и как развить,критическое мышление,thinking,published,https://www.distill-school.ru/blog/kriticheskoe-myshlenie.html
2026-06-20,pochemu-padaet-produktivnost,Почему падает продуктивность и как её вернуть,почему падает продуктивность,productivity,published,https://www.distill-school.ru/blog/pochemu-padaet-produktivnost.html
2026-06-21,mental-models-how-to-think-better,Ментальные модели: как думать лучше,ментальные модели,thinking,published,https://www.distill-school.ru/blog/mental-models-how-to-think-better.html
2026-06-22,myshlenie-pervymi-principami,Мышление первыми принципами: метод Маска и Аристотеля,мышление первыми принципами,thinking,published,https://www.distill-school.ru/blog/myshlenie-pervymi-principami.html
2026-06-23,kognitivnye-iskazheniya-polnyy-spisok,Когнитивные искажения: полный список и влияние на решения,когнитивные искажения,thinking,published,https://www.distill-school.ru/blog/kognitivnye-iskazheniya-polnyy-spisok.html
2026-06-24,second-order-thinking,Мышление второго порядка: думай о последствиях,мышление второго порядка,thinking,published,https://www.distill-school.ru/blog/second-order-thinking.html
2026-06-25,printsip-pareto-80-20,Принцип Парето 80/20: как работает и где применять,принцип Парето,productivity,published,https://www.distill-school.ru/blog/printsip-pareto-80-20.html
2026-06-26,inversion-thinking,Инверсия мышления: решай проблемы наоборот,инверсия мышление,thinking,published,https://www.distill-school.ru/blog/inversion-thinking.html
2026-06-27,krug-kompetentnosti,Круг компетентности: что это и зачем знать границы,круг компетентности,thinking,published,https://www.distill-school.ru/blog/krug-kompetentnosti.html
2026-06-28,stoicism-productivity-stress-resistance,Стоицизм: философия продуктивности и стресса,стоицизм,philosophy,published,https://www.distill-school.ru/blog/stoicism-productivity-stress-resistance.html
2026-06-29,goodharts-law-why-metrics-stop-working,Закон Гудхарта: почему метрики перестают работать,закон Гудхарта,thinking,published,https://www.distill-school.ru/blog/goodharts-law-why-metrics-stop-working.html
2026-06-30,metanavyki-obuchenie,Метанавыки: что это и как развивать для учёбы,метанавыки обучение,dictionary,published,https://www.distill-school.ru/blog/metanavyki-obuchenie.html
